Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF 2201010609TR","C_Elec_6.3x7.7",4.393140,-1.500000,180.000000,top
"C3","0.1uF","C_0402_1005Metric",14.500000,-0.500000,180.000000,top
"C5","100pF","C_0805_2012Metric",16.500000,-9.950000,90.000000,top
"C7","0.01uF","C_0402_1005Metric",10.500000,-2.500000,0.000000,top
"C8","4700pF","C_0402_1005Metric",14.500000,-1.500000,0.000000,top
"C9","33pF","C_0402_1005Metric",17.204121,-7.015657,90.000000,top
"D1","B360","D_SMC",21.500000,-1.500000,0.000000,top
"L1","10uH","L_Taiyo-Yuden_MD-5050",20.500000,-8.000000,0.000000,top
"R2","59K","R_0402_1005Metric",15.000000,-11.000000,90.000000,top
"R3","11K","R_0402_1005Metric",15.000000,-9.000000,90.000000,top
"R4","332K","R_0402_1005Metric",8.500000,-6.000000,0.000000,top
"R5","56.2K","R_0402_1005Metric",8.500000,-7.000000,180.000000,top
"R6","0","R_0402_1005Metric",8.500000,-5.000000,180.000000,top
"R7","237K","R_0402_1005Metric",11.000000,-8.500000,180.000000,top
"R8","29K","R_0402_1005Metric",15.000000,-3.000000,-90.000000,top
"U1","TPS54260DGQ","MSOP-10-1EP_3x3mm_P0.5mm_EP2.2x3.1mm_Mask1.83x1.89mm_ThermalVias",13.040000,-5.970000,0.000000,top
